ADDRESS,CLND
0x85f3769aed624f037b20dd5de7f618f7dfaead1d,338
0x23d4d6f931367cf8322948d8354cc016fc312c19,1298
0x40ae0a4ee7fd17feb66c450e0131a42a20bfddab,55
0x022c47a5c0a24de08155545136fafba4f80a2727,1320
0xa4a81b67a780a74a427219901ed1e22a96c5a5a4,165
0x6c3519c8186a1622838dc57498bab6d8c5008229,290
0xdfcd142557b6b3c62469633b2a53f2e94b3a6c40,1320
0x41b28f2024fbf84a6f344cd79f86b497ec3f0f29,19800
0xe84a290bf2af16be81ee79c855bdea10f07c3a6d,32995
0x2fe5d785c28f3596caf63746eafa53facafd13cb,95
0x4cde0457a886b46f188286fdfdd8000fee1877e0,5280
0xfe3754c58f0191be717e40e94c8bd1dbe988c3bc,509
0x7955819cdefb93a7a36655ccb075556634b7bf27,205
0x7656a8eef283751b222e2dd3b75ab21ab362228d,7
0x8a8aa04bf33ad110143e0286d1622449e842e494,12
0x839c41e493840d075a4d5df0ecd0432de753c78b,330
0x07f2a933ede268500e99d6c19f01a33bb1a84c4a,93
0xc69b1a5c3972a4b4ad56ba6ba30f3bb455aeff7f,821
0x11455d40244a299c433f09435ba97de5508775e4,12
0xd7d0a26b91ea530f788bbb8861678b90aa6fd3e9,172
0x1a27f82886a5bded9ae15cf6450b56d4b35a107e,132
0x598fbd2d4e5b381f5f537ac51c0e0debb3298944,66
0x0f79c6190cb1d1bbe77f82192053e218af871646,205
0x43f89bfeaa5786e48cdaa93b84f1aa9689ef05de,324
0x971ce8dc47306087ce61bbb4f2d75552a4dd36ef,73
0x5c9d4615dc33b1933bf55de93c3cbb5c4c6f0865,66
0x690cb62bee2aba689cdcdcffb1f87f8c9fe2bef9,218
0x6d6620e3a64a1412c17ca9e07149bedece249151,331
0x5857e33d4bdb2d4ad6d4638e3c2f7b05dbcacb24,295
0x1760f58761b43f811ebd007a86cf12124fb14188,40
0x8915b5099e408c5e6fd6451ef2d9c48f2a0694a3,67
0x997735f95a82c83e6f3ac8cbcc7967df585b827e,46
0xa7b5a1e5a6680cea5a2fa36ac8d5ebd4b53705e8,644
0x186b8c27b5c010e43b3ecfb46ef22cd2c91de622,153
0x04639394472af7019cd810a51718c74e4cc6822b,4641
0x8b495070064e737b7a81d17b22c650dd1060b436,330
0xc50e83e9d88c5452a683e7d162b75c41c7b10ff0,1805
0x2d134e310090d3e2105ddbaa2da0e373f6c3218a,103
0x280920c954804f8ee5d197776d36e6af5d865899,27
0x56860e8e22260fc003f9615582a26b6c5ac90298,1124
0xc54dbe97b648511d7adde78fc4e62fd8c2869b16,1461
0x7e752761e62a7e671ff7446560b064c2d1c198cd,126
0x04f69017aa71ed491eaa9cb5d8361c3e5cc8869c,32
0xd8491d09073cbc4d7e0c3f9999aedcf9cb9120f5,74
0x5e4b85f03f7e0c256f6f1bd311534776da054f11,29
0xb3d577778f761ed4e3a568d6f32f682bce4fce77,60
0xecf0862fb1be0239a236b690ec4b3a328ab28c49,11
0x333cad1e486204f52cb3a9927a6c56b10923bb8d,15
0xca6ed89b0fa009dd96069038047536b6e420d0a8,212
0xd257ec541c791bf554a2984bee3fbac555310ff3,4
0x37b18523cadd5736604abd4c41a8e55e994eb630,11
0xa974db324e039c06aa2e8cb1baad344f019aedbe,33
0xd22b1a156fb30755dfca58c29a736c8fa3e2754a,66
0xe7b08df2e0b196b1ccb0f009edc9d4684580f8d0,15
0x1b0b790c53acf8d4d14db01d42ded0df2ca3efc4,83
0xc2d5cfcf41d971d0c99715d3a0c38c6e0ce4ed53,22
0x4b2277cce55c4d8ab1bd1ad417b086f7ae1adc21,307
0x806d5211dfb46d628197768e2ab834d4e6573645,13200
0xa8a6ffdcf02d51c28e39086da76dc9e97f09f668,211
0x9065b9c8fce4c176ec081a19b3d46082a562db68,347
0xcf61c60975e33df5df8978e9b25fab66135d8c36,209
0xb15ac4c6d4216622529a4ac7f28df80c4ca60b3c,52
0x3288df4abaab08736f9caf3ea0b36f0f858b9082,952
0x7c0467cdc71aa40a1a3b129c187eedd20247d1a5,628
0xfd6ce4f02b316738cd6b6d3a7f716c2feeca9328,4502
0x82cc2bce2b0997b1078d8faf8a7d4343c6d90c94,8
0xbfc2b750a7cb2745d1eabc33aaad759de8737e87,132
0x1d11c4f01b3f331f3c842449d159cc87908ea2c2,890
0xf39827bc6a8420cbc4841a7c220a9cc8c5660bb5,14
﻿
